trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_audio1_target,audio1_audio1_H,audio1_audio1_L,audio1_audio1_H_count,audio1_audio1_L_count,audio1_audio1_target_talker,audio1_audio1_H_talker,audio1_audio1_L_talker,audio1_audio1_target_file,audio1_audio1_H_file,audio1_audio1_L_file,audio1_audio2_target,audio1_audio2_H,audio1_audio2_L,audio1_audio2_H_count,audio1_audio2_L_count,audio1_audio2_target_talker,audio1_audio2_H_talker,audio1_audio2_L_talker,audio1_audio2_target_file,audio1_audio2_H_file,audio1_audio2_L_file,audio2_audio1_target,audio2_audio1_H,audio2_audio1_L,audio2_audio1_H_count,audio2_audio1_L_count,audio2_audio1_target_talker,audio2_audio1_H_talker,audio2_audio1_L_talker,audio2_audio1_target_file,audio2_audio1_H_file,audio2_audio1_L_file,audio2_audio2_target,audio2_audio2_H,audio2_audio2_L,audio2_audio2_H_count,audio2_audio2_L_count,audio2_audio2_target_talker,audio2_audio2_H_talker,audio2_audio2_L_talker,audio2_audio2_target_file,audio2_audio2_H_file,audio2_audio2_L_file
11,#007A46,#556623,#004613,43.38,22.95,54.61,#0096B8,#00EEFF,#008FD1,41.61,19.56,46.21,v,s,z,2,88,T09,T07,T11,stimuli/T09_ava.wav,stimuli/T07_asa.wav,stimuli/T11_aza.wav,eth,f,v,1,81,T04,T07,T01,stimuli/T04_aetha.wav,stimuli/T07_afa.wav,stimuli/T01_ava.wav,g,s,zh,2,83,T10,T02,T04,stimuli/T10_aga.wav,stimuli/T02_asa.wav,stimuli/T04_azha.wav,n,g,d,2,5,T10,T08,T03,stimuli/T10_ana.wav,stimuli/T08_aga.wav,stimuli/T03_ada.wav
12,#9A6C28,#7A3A00,#A6623E,33.87,17.3,41.9,#736EBF,#EB7ADF,#006BC3,40.11,20.24,59.5,n,zh,d,1,5,T06,T03,T04,stimuli/T06_ana.wav,stimuli/T03_azha.wav,stimuli/T04_ada.wav,zh,sh,d,1,31,T01,T08,T12,stimuli/T01_azha.wav,stimuli/T08_asha.wav,stimuli/T12_ada.wav,g,theta,zh,1,83,T05,T10,T03,stimuli/T05_aga.wav,stimuli/T10_athetaa.wav,stimuli/T03_azha.wav,z,p,v,1,48,T09,T08,T12,stimuli/T09_aza.wav,stimuli/T08_apa.wav,stimuli/T12_ava.wav
13,#3E7C18,#212300,#00743A,44.08,22.12,45.1,#008467,#62D3C7,#1C8A61,38.72,19.82,32.68,k,n,p,3,190,T04,T08,T03,stimuli/T04_aka.wav,stimuli/T08_ana.wav,stimuli/T03_apa.wav,theta,d,s,4,45,T09,T11,T07,stimuli/T09_athetaa.wav,stimuli/T11_ada.wav,stimuli/T07_asa.wav,v,n,d,4,81,T04,T06,T02,stimuli/T04_ava.wav,stimuli/T06_ana.wav,stimuli/T02_ada.wav,m,p,n,1,54,T06,T08,T07,stimuli/T06_ama.wav,stimuli/T08_apa.wav,stimuli/T07_ana.wav
14,#009BDE,#00D5E3,#00C6F4,38.23,24.53,19.09,#9E6707,#FFC623,#D99652,46.97,21.33,41.63,eth,f,z,1,255,T11,T12,T01,stimuli/T11_aetha.wav,stimuli/T12_afa.wav,stimuli/T01_aza.wav,s,eth,sh,1,57,T05,T10,T12,stimuli/T05_asa.wav,stimuli/T10_aetha.wav,stimuli/T12_asha.wav,b,zh,eth,3,74,T08,T01,T07,stimuli/T08_aba.wav,stimuli/T01_azha.wav,stimuli/T07_aetha.wav,s,zh,f,2,29,T10,T12,T01,stimuli/T10_asa.wav,stimuli/T12_azha.wav,stimuli/T01_afa.wav
15,#05874F,#009A39,#3CAA87,36.62,19.32,48.48,#A266B1,#510388,#61429A,41.46,21.57,25.89,k,g,f,1,17,T06,T04,T11,stimuli/T06_aka.wav,stimuli/T04_aga.wav,stimuli/T11_afa.wav,n,zh,d,1,5,T01,T06,T07,stimuli/T01_ana.wav,stimuli/T06_azha.wav,stimuli/T07_ada.wav,v,n,d,4,81,T02,T08,T09,stimuli/T02_ava.wav,stimuli/T08_ana.wav,stimuli/T09_ada.wav,g,theta,zh,1,83,T01,T10,T06,stimuli/T01_aga.wav,stimuli/T10_athetaa.wav,stimuli/T06_azha.wav
16,#0079A4,#0071C5,#2A8C9A,26.2,23.4,45.16,#A3415D,#EBBBE1,#8E547B,47.39,20.94,38.26,t,eth,p,1,109,T11,T01,T06,stimuli/T11_ata.wav,stimuli/T01_aetha.wav,stimuli/T06_apa.wav,g,m,zh,1,83,T09,T12,T06,stimuli/T09_aga.wav,stimuli/T12_ama.wav,stimuli/T06_azha.wav,z,sh,zh,1,242,T08,T05,T02,stimuli/T08_aza.wav,stimuli/T05_asha.wav,stimuli/T02_azha.wav,b,zh,eth,3,74,T02,T10,T07,stimuli/T02_aba.wav,stimuli/T10_azha.wav,stimuli/T07_aetha.wav
17,#009C8F,#003948,#00A882,48.34,15.55,60.03,#625CAC,#000C46,#0056B7,48.71,20.57,40.67,b,n,z,4,19,T11,T02,T05,stimuli/T11_aba.wav,stimuli/T02_ana.wav,stimuli/T05_aza.wav,p,b,k,1,207,T04,T09,T01,stimuli/T04_apa.wav,stimuli/T09_aba.wav,stimuli/T01_aka.wav,p,v,t,1,91,T10,T09,T01,stimuli/T10_apa.wav,stimuli/T09_ava.wav,stimuli/T01_ata.wav,k,g,t,1,127,T02,T03,T05,stimuli/T02_aka.wav,stimuli/T03_aga.wav,stimuli/T05_ata.wav
18,#777500,#FFD563,#4D4100,47.16,21.38,63.27,#BF3D62,#FF4A76,#EB437F,35.76,16.69,25.48,n,g,m,2,57,T03,T11,T07,stimuli/T03_ana.wav,stimuli/T11_aga.wav,stimuli/T07_ama.wav,b,n,v,4,81,T01,T11,T07,stimuli/T01_aba.wav,stimuli/T11_ana.wav,stimuli/T07_ava.wav,f,g,p,1,27,T05,T06,T01,stimuli/T05_afa.wav,stimuli/T06_aga.wav,stimuli/T01_apa.wav,eth,theta,z,1,255,T03,T02,T08,stimuli/T03_aetha.wav,stimuli/T02_athetaa.wav,stimuli/T08_aza.wav
19,#007D5C,#00A1A7,#004B39,46.9,21.91,48.19,#549347,#334200,#8EC879,36.45,19.81,52.97,k,z,t,1,127,T12,T09,T02,stimuli/T12_aka.wav,stimuli/T09_aza.wav,stimuli/T02_ata.wav,s,eth,f,1,29,T02,T09,T05,stimuli/T02_asa.wav,stimuli/T09_aetha.wav,stimuli/T05_afa.wav,theta,m,p,1,35,T07,T02,T10,stimuli/T07_athetaa.wav,stimuli/T02_ama.wav,stimuli/T10_apa.wav,d,theta,eth,3,33,T11,T06,T02,stimuli/T11_ada.wav,stimuli/T06_athetaa.wav,stimuli/T02_aetha.wav
20,#C84671,#7E000A,#B41A70,41.16,17.55,42.04,#744BA4,#7700AC,#38357E,42.4,18.51,52.43,s,eth,theta,1,84,T12,T08,T03,stimuli/T12_asa.wav,stimuli/T08_aetha.wav,stimuli/T03_athetaa.wav,k,g,p,1,190,T05,T04,T01,stimuli/T05_aka.wav,stimuli/T04_aga.wav,stimuli/T01_apa.wav,eth,f,v,1,81,T05,T08,T06,stimuli/T05_aetha.wav,stimuli/T08_afa.wav,stimuli/T06_ava.wav,p,d,t,1,91,T11,T01,T05,stimuli/T11_apa.wav,stimuli/T01_ada.wav,stimuli/T05_ata.wav
21,#007497,#00091C,#007C9B,48.83,18.04,51.64,#0085C5,#0054A8,#5C89C8,26.28,18.31,28.83,z,sh,v,1,48,T08,T03,T04,stimuli/T08_aza.wav,stimuli/T03_asha.wav,stimuli/T04_ava.wav,n,zh,m,1,57,T09,T12,T01,stimuli/T09_ana.wav,stimuli/T12_azha.wav,stimuli/T01_ama.wav,n,zh,m,1,57,T10,T09,T03,stimuli/T10_ana.wav,stimuli/T09_azha.wav,stimuli/T03_ama.wav,g,m,d,1,148,T06,T07,T11,stimuli/T06_aga.wav,stimuli/T07_ama.wav,stimuli/T11_ada.wav
22,#E5577B,#E58681,#B74C63,25.71,15.95,23.06,#B67349,#8E0012,#AC4F23,46.02,18.29,31.59,n,g,d,2,5,T12,T06,T01,stimuli/T12_ana.wav,stimuli/T06_aga.wav,stimuli/T01_ada.wav,p,b,k,1,207,T08,T02,T10,stimuli/T08_apa.wav,stimuli/T02_aba.wav,stimuli/T10_aka.wav,theta,m,s,1,45,T06,T01,T10,stimuli/T06_athetaa.wav,stimuli/T01_ama.wav,stimuli/T10_asa.wav,k,g,f,1,17,T12,T04,T05,stimuli/T12_aka.wav,stimuli/T04_aga.wav,stimuli/T05_afa.wav
23,#00A279,#00B259,#008068,26.23,21.46,40.25,#0088AE,#00B2BD,#006A91,46.7,24.9,36.9,t,z,theta,1,9,T09,T01,T06,stimuli/T09_ata.wav,stimuli/T01_aza.wav,stimuli/T06_athetaa.wav,s,n,f,1,29,T08,T01,T06,stimuli/T08_asa.wav,stimuli/T01_ana.wav,stimuli/T06_afa.wav,zh,s,z,1,451,T06,T07,T12,stimuli/T06_azha.wav,stimuli/T07_asa.wav,stimuli/T12_aza.wav,m,p,b,1,5,T01,T05,T09,stimuli/T01_ama.wav,stimuli/T05_apa.wav,stimuli/T09_aba.wav
24,#716B00,#4D6F00,#3C5600,35.83,18.92,30.98,#A3621C,#5F2900,#BD6100,40.19,17.61,35.94,z,s,eth,1,162,T07,T09,T10,stimuli/T07_aza.wav,stimuli/T09_asa.wav,stimuli/T10_aetha.wav,theta,n,f,1,260,T01,T04,T12,stimuli/T01_athetaa.wav,stimuli/T04_ana.wav,stimuli/T12_afa.wav,s,zh,sh,2,57,T06,T01,T09,stimuli/T06_asa.wav,stimuli/T01_azha.wav,stimuli/T09_asha.wav,t,eth,theta,1,9,T10,T02,T04,stimuli/T10_ata.wav,stimuli/T02_aetha.wav,stimuli/T04_athetaa.wav
25,#905DB5,#071B71,#6E7FE3,35.82,22.92,41.48,#007465,#005263,#009780,30.29,18.77,34.61,n,b,z,3,7,T01,T12,T10,stimuli/T01_ana.wav,stimuli/T12_aba.wav,stimuli/T10_aza.wav,s,zh,f,2,29,T02,T11,T09,stimuli/T02_asa.wav,stimuli/T11_azha.wav,stimuli/T09_afa.wav,t,g,theta,1,9,T04,T03,T06,stimuli/T04_ata.wav,stimuli/T03_aga.wav,stimuli/T06_athetaa.wav,f,sh,s,1,18,T10,T06,T03,stimuli/T10_afa.wav,stimuli/T06_asha.wav,stimuli/T03_asa.wav
