trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file
16,#7985D5,#00507A,#8A76D6,43.76,15.03,54.69,#008C6F,#408213,#00C39C,48.98,21.34,48.55,sh,m,theta,1,9,T03,T03,T03,stimuli/T03_asha.wav,stimuli/T03_ama.wav,stimuli/T03_athetaa.wav,k,g,p,1,190,T11,T11,T11,stimuli/T11_aka.wav,stimuli/T11_aga.wav,stimuli/T11_apa.wav
17,#889037,#523318,#AAC370,48.33,19.77,62.72,#BF438A,#4C1F6C,#832552,40.2,22.79,33.9,f,g,p,1,27,T10,T10,T10,stimuli/T10_afa.wav,stimuli/T10_aga.wav,stimuli/T10_apa.wav,v,s,d,2,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_asa.wav,stimuli/T03_ada.wav
18,#00A3A4,#00C087,#00DBDA,41.19,20.44,43.67,#8E7B34,#BE6213,#96885E,36.81,16.9,46.29,eth,s,z,1,255,T07,T07,T07,stimuli/T07_aetha.wav,stimuli/T07_asa.wav,stimuli/T07_aza.wav,m,p,n,1,54,T06,T06,T06,stimuli/T06_ama.wav,stimuli/T06_apa.wav,stimuli/T06_ana.wav
19,#586920,#C68C51,#70591D,39.58,19.98,27.53,#5C91DE,#DED8FF,#68A1D7,33.28,15.71,31.77,z,p,zh,1,242,T05,T05,T05,stimuli/T05_aza.wav,stimuli/T05_apa.wav,stimuli/T05_azha.wav,v,m,d,7,81,T08,T08,T08,stimuli/T08_ava.wav,stimuli/T08_ama.wav,stimuli/T08_ada.wav
20,#3084E0,#965EB3,#0076EB,36.45,23.6,54.74,#AE7243,#C64D51,#7E4019,32.45,19.68,31.27,sh,f,theta,4,9,T01,T01,T01,stimuli/T01_asha.wav,stimuli/T01_afa.wav,stimuli/T01_athetaa.wav,f,sh,s,1,18,T10,T10,T10,stimuli/T10_afa.wav,stimuli/T10_asha.wav,stimuli/T10_asa.wav
21,#0088A6,#005F5E,#00A0A7,25.19,17.12,26.0,#4B732D,#001100,#7E8B37,44.74,17.54,58.38,v,s,d,2,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_asa.wav,stimuli/T03_ada.wav,z,s,eth,1,162,T04,T04,T04,stimuli/T04_aza.wav,stimuli/T04_asa.wav,stimuli/T04_aetha.wav
22,#C056A2,#E78082,#D38FCA,41.67,22.65,37.27,#AC3958,#F15538,#880043,44.4,23.45,60.54,s,n,f,1,29,T03,T03,T03,stimuli/T03_asa.wav,stimuli/T03_ana.wav,stimuli/T03_afa.wav,g,s,zh,2,83,T10,T10,T10,stimuli/T10_aga.wav,stimuli/T10_asa.wav,stimuli/T10_azha.wav
23,#98472F,#FF7A6D,#962402,35.41,21.77,37.53,#BA3745,#69000E,#FC6D5E,35.29,23.92,57.06,theta,d,f,4,260,T01,T01,T01,stimuli/T01_athetaa.wav,stimuli/T01_ada.wav,stimuli/T01_afa.wav,v,m,eth,7,379,T12,T12,T12,stimuli/T12_ava.wav,stimuli/T12_ama.wav,stimuli/T12_aetha.wav
24,#8B5D9C,#3BAFFF,#A0778F,47.85,24.18,53.75,#B77D1F,#926D40,#A05511,26.69,18.23,25.19,zh,s,d,1,31,T07,T07,T07,stimuli/T07_azha.wav,stimuli/T07_asa.wav,stimuli/T07_ada.wav,theta,d,s,4,45,T01,T01,T01,stimuli/T01_athetaa.wav,stimuli/T01_ada.wav,stimuli/T01_asa.wav
25,#3D9151,#002400,#00783B,45.18,15.56,39.62,#A37D3C,#A3212C,#926D05,49.93,15.36,54.03,n,zh,z,1,7,T02,T02,T02,stimuli/T02_ana.wav,stimuli/T02_azha.wav,stimuli/T02_aza.wav,eth,theta,zh,1,44,T01,T01,T01,stimuli/T01_aetha.wav,stimuli/T01_athetaa.wav,stimuli/T01_azha.wav
