trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE
54,#91641C,#9A500D,#8B5F15,15.93,2.14,#0E64A3,#1B7592,#126BA8,23.28,3.06
55,#8354A2,#9075B9,#8A57A8,15.13,2.3,#B63739,#C40021,#B92C38,27.16,5.0
56,#AD3E6F,#B3337C,#AD3C6B,11.17,2.09,#0078BA,#005EBC,#0078C1,23.05,4.96
57,#009162,#008C75,#188F65,30.67,4.82,#0094CC,#6C92B3,#0093C4,28.18,4.53
58,#445FBB,#376E9D,#3D5FB8,30.78,2.71,#C53965,#5F0032,#C13160,34.69,2.36
59,#99487D,#BB7A88,#9C507F,26.85,4.38,#369D78,#00614E,#33966E,25.95,3.11
60,#746FBD,#0090FF,#7672C5,34.52,2.91,#0092CA,#00B1F9,#0088BE,19.46,3.83
61,#0B7420,#77AB4F,#0D7E29,25.77,4.27,#008AB1,#009EE0,#0090B6,18.67,2.63
62,#A76419,#FF993E,#A7611B,28.49,2.14,#00886C,#006D45,#008A72,13.83,3.21
63,#0091DB,#7F93DB,#0088D1,22.14,3.43,#C871BE,#F28DDE,#D778C8,12.75,4.81
64,#AC4FA2,#950050,#B256A9,34.63,2.57,#0098B4,#006385,#0099B4,32.45,3.3
65,#00708D,#005064,#007798,32.91,4.67,#009B6A,#00695D,#009866,33.28,2.15
66,#C53D5F,#FF4A85,#BF3E5F,20.81,2.55,#CB6F98,#93287B,#D16C99,30.32,3.52
67,#D57564,#C48B9B,#DC7D6F,28.34,3.51,#A5632F,#C6B45D,#B06431,37.35,4.8
68,#AB7EC2,#8891C4,#B289CE,20.94,4.18,#008079,#0C7072,#007B78,29.75,4.16
69,#D06E79,#F0917F,#D96C7B,18.89,4.74,#847900,#726500,#8F7D02,12.29,3.73
70,#965B25,#C16B00,#9C5A27,25.52,3.1,#974493,#8F2174,#9C4998,12.68,2.04
71,#008962,#005C4F,#19875C,22.52,2.9,#CA4E81,#BA295D,#C35381,13.51,4.5
72,#815502,#E89B41,#744E00,32.79,4.32,#0093AE,#0072AA,#008DA9,22.01,4.14
73,#006D48,#4F7D1A,#006F4B,34.39,2.19,#A94915,#8D4210,#B45321,10.98,3.95
74,#00A4B4,#4B9099,#00ACC0,25.17,3.79,#3D7840,#284B00,#3E7B40,26.22,2.46
75,#8586D8,#BB7FC9,#8487D5,20.82,2.15,#A03F43,#7E3F56,#99373F,22.62,2.94
