trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file
11,#0087A9,#0066B3,#00B2B0,31.58,29.29,57.76,#5A6900,#5B8D00,#8D9E32,34.85,20.5,35.15,b,p,v,1,81,T11,T11,T11,stimuli/T11_aba.wav,stimuli/T11_apa.wav,stimuli/T11_ava.wav,g,theta,d,1,148,T11,T11,T11,stimuli/T11_aga.wav,stimuli/T11_athetaa.wav,stimuli/T11_ada.wav
12,#A96415,#FC4F19,#6C2D08,43.9,27.98,56.65,#858418,#FFFA99,#9AB750,48.67,22.44,41.1,v,m,eth,7,379,T04,T04,T04,stimuli/T04_ava.wav,stimuli/T04_ama.wav,stimuli/T04_aetha.wav,sh,m,s,1,56,T04,T04,T04,stimuli/T04_asha.wav,stimuli/T04_ama.wav,stimuli/T04_asa.wav
13,#00957F,#196E2E,#00C1C0,31.82,21.23,49.9,#878000,#B1A300,#4D6221,44.25,29.32,72.25,g,m,d,1,148,T02,T02,T02,stimuli/T02_aga.wav,stimuli/T02_ama.wav,stimuli/T02_ada.wav,k,n,p,3,190,T02,T02,T02,stimuli/T02_aka.wav,stimuli/T02_ana.wav,stimuli/T02_apa.wav
14,#B2453D,#8C0000,#AE2251,35.37,23.93,49.68,#C73763,#FF1567,#D06D8F,29.03,22.24,46.33,m,z,n,1,54,T11,T11,T11,stimuli/T11_ama.wav,stimuli/T11_aza.wav,stimuli/T11_ana.wav,zh,s,z,1,451,T11,T11,T11,stimuli/T11_azha.wav,stimuli/T11_asa.wav,stimuli/T11_aza.wav
15,#1F8CDD,#ABEAFF,#0099DC,39.23,28.84,44.66,#009BA9,#00614E,#58AC95,32.44,26.17,28.62,t,g,theta,1,9,T11,T11,T11,stimuli/T11_ata.wav,stimuli/T11_aga.wav,stimuli/T11_athetaa.wav,b,n,v,4,81,T11,T11,T11,stimuli/T11_aba.wav,stimuli/T11_ana.wav,stimuli/T11_ava.wav
16,#007575,#008CC5,#00634D,36.6,25.31,53.36,#CF5395,#FEB6E1,#AD006C,36.62,20.89,57.47,eth,s,v,1,81,T07,T07,T07,stimuli/T07_aetha.wav,stimuli/T07_asa.wav,stimuli/T07_ava.wav,k,z,t,1,127,T07,T07,T07,stimuli/T07_aka.wav,stimuli/T07_aza.wav,stimuli/T07_ata.wav
17,#007733,#00CD9E,#005700,35.6,23.09,54.37,#006FBF,#334458,#0071A0,41.98,20.39,26.61,zh,sh,z,1,451,T11,T11,T11,stimuli/T11_azha.wav,stimuli/T11_asha.wav,stimuli/T11_aza.wav,f,n,p,1,27,T11,T11,T11,stimuli/T11_afa.wav,stimuli/T11_ana.wav,stimuli/T11_apa.wav
18,#C16998,#E18C90,#843D5F,25.49,21.0,35.6,#8C52AE,#7723C4,#414E94,36.66,26.51,54.33,v,m,eth,7,379,T05,T05,T05,stimuli/T05_ava.wav,stimuli/T05_ama.wav,stimuli/T05_aetha.wav,g,m,d,1,148,T05,T05,T05,stimuli/T05_aga.wav,stimuli/T05_ama.wav,stimuli/T05_ada.wav
19,#007852,#00596D,#00641A,40.2,24.52,57.32,#00A29A,#00C286,#5F9773,31.45,26.56,32.75,p,d,theta,1,30,T03,T03,T03,stimuli/T03_apa.wav,stimuli/T03_ada.wav,stimuli/T03_athetaa.wav,eth,f,zh,1,44,T03,T03,T03,stimuli/T03_aetha.wav,stimuli/T03_afa.wav,stimuli/T03_azha.wav
20,#00A0D2,#00FEFF,#00B9FF,33.99,27.84,41.52,#007C7B,#003034,#005E78,30.84,22.32,27.68,f,g,s,1,18,T11,T11,T11,stimuli/T11_afa.wav,stimuli/T11_aga.wav,stimuli/T11_asa.wav,z,sh,eth,1,162,T11,T11,T11,stimuli/T11_aza.wav,stimuli/T11_asha.wav,stimuli/T11_aetha.wav
21,#BE5866,#541D00,#A52A2A,41.79,23.77,32.06,#838017,#495D1E,#85AA47,26.03,22.8,33.54,t,eth,theta,1,9,T12,T12,T12,stimuli/T12_ata.wav,stimuli/T12_aetha.wav,stimuli/T12_athetaa.wav,s,zh,f,2,29,T12,T12,T12,stimuli/T12_asa.wav,stimuli/T12_azha.wav,stimuli/T12_afa.wav
22,#CB6C39,#E54B36,#FF8C60,25.01,23.17,21.67,#8B8D1F,#2D9D00,#D0A861,44.84,27.57,69.42,zh,sh,z,1,451,T09,T09,T09,stimuli/T09_azha.wav,stimuli/T09_asha.wav,stimuli/T09_aza.wav,v,m,d,7,81,T09,T09,T09,stimuli/T09_ava.wav,stimuli/T09_ama.wav,stimuli/T09_ada.wav
23,#008190,#0080B2,#004D49,27.13,25.65,40.27,#824AA7,#FF8AFF,#A169F4,41.22,27.17,33.72,sh,p,s,1,56,T05,T05,T05,stimuli/T05_asha.wav,stimuli/T05_apa.wav,stimuli/T05_asa.wav,z,s,v,1,48,T05,T05,T05,stimuli/T05_aza.wav,stimuli/T05_asa.wav,stimuli/T05_ava.wav
24,#AD6938,#E58782,#E89E4A,28.12,25.58,39.26,#007564,#003713,#5B9487,43.87,23.45,66.66,t,z,theta,1,9,T06,T06,T06,stimuli/T06_ata.wav,stimuli/T06_aza.wav,stimuli/T06_athetaa.wav,eth,f,z,1,255,T06,T06,T06,stimuli/T06_aetha.wav,stimuli/T06_afa.wav,stimuli/T06_aza.wav
25,#097A4D,#73B658,#5CA88F,33.26,24.08,36.87,#6583E0,#0076FF,#195FE1,48.62,27.43,26.44,z,s,eth,1,162,T10,T10,T10,stimuli/T10_aza.wav,stimuli/T10_asa.wav,stimuli/T10_aetha.wav,b,p,z,1,19,T10,T10,T10,stimuli/T10_aba.wav,stimuli/T10_apa.wav,stimuli/T10_aza.wav
