trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file
11,#007F6D,#005A5E,#00784D,25.79,15.77,33.97,#7484ED,#D4E1FF,#3C51A2,36.93,23.52,60.38,n,g,m,2,57,T06,T06,T06,stimuli/T06_ana.wav,stimuli/T06_aga.wav,stimuli/T06_ama.wav,zh,s,z,1,451,T08,T08,T08,stimuli/T08_azha.wav,stimuli/T08_asa.wav,stimuli/T08_aza.wav
12,#5D820D,#417865,#93A13D,47.56,17.0,47.75,#00998A,#00F2BE,#00CCC2,35.55,19.11,26.19,g,s,v,2,197,T01,T01,T01,stimuli/T01_aga.wav,stimuli/T01_asa.wav,stimuli/T01_ava.wav,m,p,b,1,5,T07,T07,T07,stimuli/T07_ama.wav,stimuli/T07_apa.wav,stimuli/T07_aba.wav
13,#007D5E,#AEA97D,#00946D,44.92,20.06,58.19,#D26A43,#CC334D,#F98B89,30.66,24.88,30.14,p,v,k,1,207,T06,T06,T06,stimuli/T06_apa.wav,stimuli/T06_ava.wav,stimuli/T06_aka.wav,sh,f,theta,4,9,T03,T03,T03,stimuli/T03_asha.wav,stimuli/T03_afa.wav,stimuli/T03_athetaa.wav
14,#007768,#00A3CD,#005F5A,41.63,15.71,39.35,#B12E6D,#FFADB1,#E24CA0,47.67,18.5,47.02,eth,theta,zh,1,44,T05,T05,T05,stimuli/T05_aetha.wav,stimuli/T05_athetaa.wav,stimuli/T05_azha.wav,z,p,zh,1,242,T11,T11,T11,stimuli/T11_aza.wav,stimuli/T11_apa.wav,stimuli/T11_azha.wav
15,#BF5857,#AA002B,#BF5A74,30.92,15.76,36.0,#707D29,#292B00,#715A00,35.39,24.05,27.78,n,g,d,2,5,T07,T07,T07,stimuli/T07_ana.wav,stimuli/T07_aga.wav,stimuli/T07_ada.wav,g,m,v,1,197,T01,T01,T01,stimuli/T01_aga.wav,stimuli/T01_ama.wav,stimuli/T01_ava.wav
16,#B23071,#874242,#C840AA,34.46,24.39,56.19,#8C6625,#FFD9A2,#C38F6E,46.05,24.66,29.44,f,n,p,1,27,T08,T08,T08,stimuli/T08_afa.wav,stimuli/T08_ana.wav,stimuli/T08_apa.wav,f,sh,p,1,27,T01,T01,T01,stimuli/T01_afa.wav,stimuli/T01_asha.wav,stimuli/T01_apa.wav
17,#A962B0,#8D7798,#A84881,29.87,18.89,31.7,#5E5FB3,#00557C,#003898,36.94,20.65,44.41,t,g,p,1,109,T03,T03,T03,stimuli/T03_ata.wav,stimuli/T03_aga.wav,stimuli/T03_apa.wav,t,z,p,1,109,T02,T02,T02,stimuli/T02_ata.wav,stimuli/T02_aza.wav,stimuli/T02_apa.wav
18,#006AC3,#14EDFF,#0068AA,49.01,15.11,50.89,#00818B,#00D6E7,#007480,49.42,17.95,41.23,zh,b,d,1,31,T11,T11,T11,stimuli/T11_azha.wav,stimuli/T11_aba.wav,stimuli/T11_ada.wav,eth,theta,zh,1,44,T04,T04,T04,stimuli/T04_aetha.wav,stimuli/T04_athetaa.wav,stimuli/T04_azha.wav
19,#B7544F,#FF6E2F,#BB643F,44.07,15.97,35.67,#1F743F,#00593B,#556333,47.47,24.28,69.83,theta,n,f,1,260,T02,T02,T02,stimuli/T02_athetaa.wav,stimuli/T02_ana.wav,stimuli/T02_afa.wav,zh,s,z,1,451,T09,T09,T09,stimuli/T09_azha.wav,stimuli/T09_asa.wav,stimuli/T09_aza.wav
20,#C35132,#850000,#AD654A,32.95,21.6,48.32,#D47936,#F93F30,#A46200,38.82,17.37,49.54,g,s,zh,2,83,T05,T05,T05,stimuli/T05_aga.wav,stimuli/T05_asa.wav,stimuli/T05_azha.wav,n,zh,m,1,57,T06,T06,T06,stimuli/T06_ana.wav,stimuli/T06_azha.wav,stimuli/T06_ama.wav
21,#7E70D0,#4F2992,#7559A1,28.02,15.78,26.45,#007C97,#00D0FF,#00A9CC,39.75,17.95,23.15,d,theta,eth,3,33,T05,T05,T05,stimuli/T05_ada.wav,stimuli/T05_athetaa.wav,stimuli/T05_aetha.wav,t,g,theta,1,9,T01,T01,T01,stimuli/T01_ata.wav,stimuli/T01_aga.wav,stimuli/T01_athetaa.wav
22,#007650,#475D1C,#61AC83,31.08,23.25,36.7,#0099F7,#00D4FF,#0062BC,35.32,21.65,50.28,v,m,eth,7,379,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_ama.wav,stimuli/T03_aetha.wav,z,s,zh,1,242,T09,T09,T09,stimuli/T09_aza.wav,stimuli/T09_asa.wav,stimuli/T09_azha.wav
23,#C46898,#FFBBFF,#DE5388,34.26,19.01,37.9,#467936,#D0B757,#4C7100,45.01,23.48,41.36,g,m,d,1,148,T07,T07,T07,stimuli/T07_aga.wav,stimuli/T07_ama.wav,stimuli/T07_ada.wav,k,n,t,3,127,T04,T04,T04,stimuli/T04_aka.wav,stimuli/T04_ana.wav,stimuli/T04_ata.wav
24,#007CD4,#00317F,#0066B6,32.14,23.9,35.11,#A669C3,#FFACE9,#604EBD,33.26,23.32,55.88,b,n,z,4,19,T10,T10,T10,stimuli/T10_aba.wav,stimuli/T10_ana.wav,stimuli/T10_aza.wav,f,n,p,1,27,T09,T09,T09,stimuli/T09_afa.wav,stimuli/T09_ana.wav,stimuli/T09_apa.wav
25,#197C2A,#A1DA58,#1A8251,41.87,18.19,50.78,#9C55B0,#AA687C,#8D73BC,40.06,19.29,35.35,s,eth,sh,1,57,T05,T05,T05,stimuli/T05_asa.wav,stimuli/T05_aetha.wav,stimuli/T05_asha.wav,s,n,theta,1,84,T02,T02,T02,stimuli/T02_asa.wav,stimuli/T02_ana.wav,stimuli/T02_athetaa.wav
