trial,L,ct_a,ct_b,ct_hex,CH_a,CH_b,CH_hex,CL_a,CL_b,CL_hex,dE_ct_CH,dE_ct_CL,dE00_ct_CH,dE00_ct_CL
29,55.0,-36.291,10.003,#349371,-35.76,14.136,#3E936A,2.034,17.24,#928166,4.17,39.0,2.4,25.53
30,55.0,-21.346,25.58,#6E8D56,-17.674,26.581,#758B55,17.065,24.809,#AD785A,3.81,38.42,2.33,30.5
31,55.0,27.953,-34.042,#9675BF,19.325,-17.953,#9779A3,-5.581,-42.979,#178ACE,18.26,34.71,7.81,27.72
32,55.0,15.787,26.598,#AB7956,8.183,43.261,#A57D37,13.626,-10.7,#937C96,18.32,37.36,10.87,25.11
33,55.0,-17.937,-3.568,#598D89,-28.78,1.756,#419180,19.542,-9.988,#9E7895,12.08,38.02,7.0,34.96
34,55.0,-25.595,6.879,#538F77,-8.62,10.328,#7C8872,5.909,-7.94,#888191,17.32,34.82,12.0,28.58
35,55.0,21.469,1.905,#A97681,25.06,-16.66,#A275A1,8.712,37.874,#A57D41,18.91,38.16,11.14,27.1
36,55.0,-10.853,16.1,#7B8867,-16.263,25.769,#778A56,16.359,8.22,#A47976,11.08,28.33,5.3,30.89
37,55.0,-6.147,-20.646,#5F88A7,-2.592,-14.635,#70869D,4.792,17.318,#978066,6.98,39.51,4.64,29.18
38,55.0,-12.138,16.833,#7A8966,-27.977,8.796,#4F9074,9.76,2.67,#967E7F,17.76,26.08,11.52,28.35
39,55.0,-5.334,-26.342,#5689B1,-3.76,-44.412,#1E8AD0,12.865,7.742,#9E7B77,18.14,38.64,5.34,30.24
40,55.0,14.772,11.832,#A47A70,14.75,24.23,#A9795A,-10.582,-15.669,#5B8A9E,12.4,37.4,8.07,35.31
41,55.0,-1.994,-22.076,#6786A9,3.638,-38.4,#5885C6,8.076,14.527,#9B7E6B,17.27,37.96,4.65,27.23
42,55.0,29.669,-5.481,#B1708E,44.12,-12.234,#C2649A,-5.98,-4.915,#74878C,15.95,35.65,6.05,26.04
43,55.0,13.236,-21.371,#887EA9,17.362,-16.083,#957AA0,-2.513,11.58,#878470,6.71,36.52,5.44,29.84
44,55.0,16.043,19.481,#A97963,31.093,11.78,#BB6E71,-13.842,21.016,#798A5F,16.91,29.92,11.93,27.57
45,55.0,-5.009,-19.451,#6388A5,-7.99,-4.25,#70888B,30.0,-0.743,#B47086,15.49,39.69,10.83,33.26
46,55.0,4.081,22.921,#98805C,-12.731,14.108,#77896B,-28.68,3.164,#44917D,18.98,38.26,17.76,27.33
47,55.0,-18.442,-8.137,#518D91,-10.326,-7.013,#68898F,20.067,-12.392,#9D7899,8.19,38.74,6.01,34.98
48,55.0,-4.039,-28.266,#5688B4,-20.361,-16.858,#378FA0,29.901,-23.53,#A472AD,19.91,34.27,12.74,26.4
49,55.0,-16.507,-30.931,#038EB9,-4.025,-24.358,#5E88AD,11.254,-6.367,#937E8F,14.11,37.07,8.91,36.71
50,55.0,-1.447,26.646,#918355,-2.288,44.263,#968334,34.509,19.194,#C36A64,17.64,36.72,6.79,27.5
51,55.0,-15.993,31.054,#7B8A4D,-23.571,12.944,#5F8E6D,22.03,18.669,#B17565,19.63,39.99,11.63,32.12
52,55.0,43.307,-46.088,#A46AD4,38.212,-39.989,#A26DC9,5.587,-56.672,#0B86E6,7.95,39.18,2.21,27.93
53,55.0,8.918,49.972,#A87C28,-3.944,44.051,#948434,34.739,20.636,#C46A62,14.16,39.08,9.06,26.59
54,55.0,-20.879,-15.669,#388F9E,-12.532,0.803,#6B8A82,-15.294,23.396,#788A5A,18.47,39.46,11.95,26.88
55,55.0,-10.239,-37.366,#178CC4,-14.047,-33.225,#108DBD,24.324,-25.931,#9877B1,5.63,36.41,2.64,30.94
56,55.0,35.839,37.174,#CA6845,27.724,22.627,#BB705E,-2.193,34.161,#938348,16.66,38.15,6.4,25.46
57,55.0,9.18,-53.005,#4184E0,13.711,-34.888,#787FC0,35.943,-26.758,#AB6DB2,18.68,37.49,11.81,27.88
58,55.0,26.105,-7.959,#AA7392,7.533,-7.199,#8B8090,-4.372,-30.958,#4F89B9,18.59,38.18,12.47,32.62
59,55.0,5.209,-28.641,#6E83B5,9.414,-47.885,#5383D7,2.326,9.78,#8F8273,19.7,38.53,6.81,25.96
60,55.0,-7.389,-30.819,#458AB8,-3.31,-44.815,#1F8AD1,24.128,-6.841,#A77590,14.58,39.6,3.62,35.09
61,55.0,25.597,8.198,#B27277,20.71,14.856,#AE766B,5.804,39.592,#A17E3E,8.26,37.11,6.1,26.95
62,55.0,28.006,-25.556,#9F74B0,32.793,-38.531,#9A72C7,14.638,-62.309,#3282F0,13.83,39.11,5.78,25.52
63,55.0,18.824,0.98,#A47883,31.999,7.836,#BB6D77,-8.64,-14.624,#62899C,14.85,31.59,7.46,34.29
64,55.0,15.009,16.059,#A67A69,0.215,25.863,#948257,-15.589,35.136,#7D8A45,17.75,36.06,16.27,27.55
65,55.0,-14.951,30.333,#7C8A4E,3.732,24.031,#98805A,-5.303,-7.412,#728790,19.72,38.96,14.7,25.64
66,55.0,6.902,-16.71,#8181A0,2.316,-20.7,#7384A7,7.484,18.891,#9C7E63,6.08,35.61,6.63,25.47
67,55.0,11.504,-14.278,#8C7E9C,1.413,-0.405,#868384,-20.671,8.959,#628D74,17.15,39.69,13.27,30.31
68,55.0,-2.699,-38.448,#4188C6,10.121,-38.205,#6A81C6,13.385,-3.122,#997C89,12.82,38.82,9.41,29.39
69,55.0,28.616,-14.744,#A9729E,40.048,-21.541,#B669AA,-8.473,-7.839,#6B8991,13.3,37.73,4.86,26.47
70,55.0,-18.942,11.538,#688C6F,-4.92,8.993,#818674,-3.053,-17.056,#6C87A1,14.25,32.71,11.2,25.06
71,55.0,-4.356,-22.546,#6088AA,7.985,-24.303,#7A81AE,19.376,4.399,#A7777D,12.47,35.91,10.87,31.11
72,55.0,-10.338,41.256,#898739,0.512,48.485,#9B812A,16.409,15.388,#A8796A,13.04,37.21,8.19,26.41
73,55.0,-17.914,-23.181,#2E8EAB,-5.423,-37.386,#388AC4,19.579,-14.804,#9A799E,18.92,38.42,9.67,35.9
74,55.0,24.632,31.628,#B9724E,26.733,27.9,#BB7055,-14.201,37.778,#818940,4.28,39.32,2.96,29.33
75,55.0,-22.107,19.544,#688D61,-18.989,2.662,#5F8D7E,13.086,12.398,#A17B6F,17.17,35.91,10.23,32.74
76,55.0,0.549,-29.46,#6186B6,-1.788,-26.898,#5F87B2,18.614,-6.168,#9F798F,3.47,29.48,1.43,25.19
77,55.0,-14.461,-12.376,#568C98,-15.328,-8.243,#5A8C91,8.342,-7.698,#8C7F91,4.22,23.28,3.05,27.63
78,55.0,12.07,-54.936,#4682E3,12.112,-39.493,#6D80C8,38.28,-30.508,#AC6CB9,15.44,35.83,7.31,26.09
79,55.0,37.257,-10.172,#B96A96,44.993,4.239,#CC617E,9.793,17.203,#9F7D66,16.36,38.78,8.3,25.63
80,55.0,-8.725,-27.984,#488AB4,-20.285,-18.509,#328FA3,-8.386,11.007,#7D8770,14.95,38.99,9.26,28.28
81,55.0,-1.242,49.051,#998229,-16.121,50.302,#828A24,22.76,18.729,#B27464,14.93,38.67,9.43,25.82
82,55.0,-25.189,23.808,#648E59,-24.68,42.241,#708E36,8.885,30.134,#A27D50,18.44,34.66,8.22,25.4
83,55.0,17.648,20.978,#AC7860,6.34,10.189,#957F72,-12.5,17.877,#7A8964,15.63,30.31,9.35,28.0
84,55.0,-6.921,42.838,#8F8536,1.826,39.619,#9B813D,30.507,29.981,#C16D51,9.32,39.57,6.28,28.87
85,55.0,17.179,-26.989,#8A7CB2,13.954,-26.606,#847EB2,-15.182,-32.345,#078EBB,3.25,32.8,2.09,26.72
86,55.0,-29.823,25.301,#5B9056,-34.944,14.193,#41936A,7.907,22.078,#9E7E5E,12.23,37.87,6.79,26.86
87,55.0,-28.614,-4.282,#35918A,-28.663,-13.271,#0C929A,9.753,6.858,#997D78,8.99,39.95,5.97,35.55
88,55.0,6.406,22.654,#9C7F5D,2.654,33.773,#9A8049,-16.943,-6.018,#598C8D,11.74,36.98,6.52,28.29
89,55.0,-6.892,-27.818,#4E89B3,-21.123,-17.689,#318FA1,31.747,-25.605,#A571B0,17.47,38.7,10.99,28.45
90,55.0,16.845,-24.543,#8C7CAE,14.223,-39.129,#737FC7,-17.423,-14.529,#488D9C,14.82,35.7,10.15,26.09
91,55.0,-9.261,-19.684,#588AA5,-11.587,-6.652,#658A8F,1.998,15.759,#928269,13.24,37.19,8.89,27.74
92,55.0,1.141,-30.207,#6186B8,-10.607,-26.328,#458BB1,20.071,-0.783,#A57786,12.37,34.99,8.46,27.1
93,55.0,-12.46,-19.947,#4D8BA6,-8.915,-11.666,#658997,-10.862,19.082,#7D8862,9.01,39.06,4.93,28.76
94,55.0,-2.21,-38.835,#4288C7,15.076,-33.939,#7D7EBE,11.915,-5.141,#957D8D,17.97,36.53,14.9,28.12
95,55.0,29.651,-26.912,#A073B3,12.172,-35.351,#7480C1,7.474,-54.829,#2F85E3,19.41,35.65,14.57,27.31
96,55.0,23.221,-3.085,#A8758A,34.992,5.095,#BE6B7C,-10.533,1.458,#708981,14.33,34.06,7.2,36.81
97,55.0,5.371,-43.532,#5185CF,-7.668,-37.692,#2A8BC4,40.612,-33.383,#AD6ABE,14.29,36.67,7.5,26.16
98,55.0,-14.382,54.177,#868919,-15.888,49.261,#828A27,22.103,40.41,#B8733E,5.14,39.0,2.11,26.24
99,55.0,-0.5,-19.849,#6E85A6,-6.251,-14.425,#68889C,15.145,8.814,#A37A75,7.91,32.65,6.62,25.89
100,55.0,-29.573,-7.932,#249290,-24.686,4.696,#538F7B,6.24,-18.389,#7E82A3,13.54,37.31,8.98,26.29
101,55.0,18.377,-8.099,#9D7992,32.393,-0.043,#B86E85,-4.597,21.968,#8A855D,16.17,37.84,8.9,33.43
102,55.0,10.227,35.456,#A67C46,-1.717,33.994,#948348,-24.842,18.222,#618F63,12.03,39.08,9.15,27.45
103,55.0,22.886,-17.589,#9D77A2,28.416,-17.979,#A673A3,4.886,-53.04,#2886E0,5.54,39.76,2.73,29.34
104,55.0,9.18,22.214,#A07D5E,-0.817,17.385,#8E8366,-26.591,20.034,#5E8F60,11.1,35.84,10.24,27.64
105,55.0,-20.933,-24.233,#0E90AD,-4.306,-16.83,#6987A0,16.664,-17.631,#927BA2,18.2,38.17,11.3,33.79
106,55.0,28.231,-26.658,#9E74B2,35.647,-30.478,#A76EB9,1.727,-48.951,#2B87D8,8.34,34.63,3.0,28.54
107,55.0,27.589,-15.092,#A7739E,18.108,-0.145,#A27984,-10.847,-12.476,#5F8A99,17.7,38.53,9.67,30.15
108,55.0,-23.964,-2.652,#4A8F87,-11.458,-13.851,#5B8A9B,15.075,-1.315,#9D7B86,16.79,39.06,12.52,42.6
109,55.0,-2.414,21.194,#8D845F,-18.616,22.769,#718C5B,27.138,-0.506,#B07285,16.28,36.66,12.17,31.56
110,55.0,-22.532,16.159,#648E67,-9.902,9.988,#798872,9.054,0.174,#947E84,14.06,35.4,8.33,34.56
111,55.0,-6.164,-27.234,#5289B2,11.934,-30.304,#7B7FB8,25.446,-4.765,#AB748D,18.36,38.78,13.27,34.01
112,55.0,9.933,-51.337,#4A83DD,20.721,-37.85,#837BC5,37.473,-30.328,#AA6DB9,17.27,34.64,13.77,25.86
113,55.0,-8.66,40.283,#8B863B,9.235,36.095,#A57C45,20.314,12.749,#AC766F,18.38,39.97,13.42,29.49
114,55.0,-22.533,6.275,#5A8E78,-15.274,10.626,#6F8B71,13.667,17.574,#A57A66,8.46,37.92,5.88,33.99
115,55.0,1.516,-49.876,#2388DA,19.413,-55.226,#607EE4,36.983,-39.449,#A16EC8,18.68,36.97,10.13,27.85
116,55.0,11.264,34.446,#A77B48,16.302,39.362,#B0783F,-11.94,2.636,#6F8A7F,7.04,39.37,3.22,27.0
117,55.0,5.692,-53.854,#2986E1,20.056,-60.395,#537EED,31.033,-33.542,#9C72BE,15.78,32.48,7.21,25.94
118,55.0,-18.416,-12.413,#498E98,-27.562,0.027,#429183,17.419,-12.953,#987A9A,15.44,35.84,10.85,34.44
119,55.0,8.834,26.053,#A17D57,23.571,17.701,#B37366,32.576,1.581,#B96D82,16.94,34.1,13.83,25.73
120,55.0,13.076,43.125,#AC7A37,28.316,44.03,#C16F37,-26.077,44.221,#6E8E32,15.27,39.17,9.63,26.05
121,55.0,-27.909,8.338,#4E9074,-26.304,-6.787,#39918F,6.377,20.004,#9B7F61,15.21,36.22,10.44,28.05
122,55.0,-17.05,20.009,#728B60,-25.902,21.545,#618F5D,22.353,16.221,#B17469,8.98,39.58,4.61,34.88
123,55.0,15.112,-47.112,#667FD5,16.874,-33.463,#817DBE,41.093,-17.329,#BA68A2,13.76,39.52,8.52,25.67
124,55.0,-31.638,3.151,#39927D,-32.555,-0.729,#2C9384,1.633,-18.681,#7484A4,3.99,39.79,2.63,26.07
125,55.0,-5.947,-34.063,#418ABE,9.662,-40.441,#6582CA,-2.163,5.755,#84847A,16.86,40.0,9.2,26.38
126,55.0,-28.582,-7.539,#2C9190,-22.699,-3.532,#4C8F89,6.908,-0.851,#8F8085,7.12,36.11,3.66,40.62
127,55.0,19.493,18.28,#AE7665,5.354,7.14,#928078,-5.244,-1.919,#788787,18.0,31.94,11.52,27.37
128,55.0,27.127,-10.382,#AA7396,13.697,-0.446,#9B7B85,-10.696,-5.014,#69898C,16.71,38.2,9.42,29.55
129,55.0,15.878,-58.708,#4981EA,11.229,-50.646,#5182DC,51.068,-40.901,#B761CB,9.31,39.44,1.53,25.97
130,55.0,26.199,15.753,#B6726A,23.464,8.168,#AF7477,-13.393,17.23,#778965,8.06,39.62,4.79,34.93
131,55.0,8.119,40.776,#A57D3C,4.552,27.44,#9B8054,23.048,6.751,#AE7579,13.8,37.16,5.45,25.93
132,55.0,22.589,-12.521,#A1769A,27.447,6.298,#B4717A,-5.898,12.791,#82866D,19.44,38.11,11.98,34.63
133,55.0,17.344,15.945,#A97869,10.408,34.489,#A67C48,-21.861,23.581,#6B8D5A,19.8,39.94,13.46,33.78
134,55.0,16.489,44.018,#B17736,20.257,51.756,#B87425,-22.396,44.517,#758D31,8.61,38.89,2.64,26.53
135,55.0,-27.648,1.96,#46917F,-16.525,-4.626,#5C8C8B,3.541,-11.483,#808397,12.93,33.96,7.98,25.78
136,55.0,25.075,0.628,#AD7383,13.157,14.183,#A27B6C,-9.058,-4.168,#6E898A,18.05,34.47,13.6,31.54
137,55.0,-7.04,-21.935,#5A89A9,-3.754,-20.135,#6587A6,8.033,2.989,#947F7F,3.75,29.13,3.06,26.62
138,55.0,-18.583,-22.94,#2B8EAB,-25.412,-13.691,#28919A,-10.15,13.772,#7B886C,11.5,37.67,7.23,26.67
139,55.0,-29.357,9.418,#4C9172,-35.202,12.556,#3D936D,-17.434,-28.437,#148EB4,6.63,39.69,2.68,26.39
140,55.0,9.473,25.247,#A27D58,2.652,20.146,#958161,-5.913,-8.38,#708792,8.52,36.98,6.21,26.72
141,55.0,13.866,-16.593,#8E7DA0,29.269,-21.057,#A572A8,-22.653,-8.6,#438F92,16.04,37.38,8.12,31.42
142,55.0,13.931,45.411,#AE7933,17.275,28.88,#AE7752,-22.826,33.337,#6F8D48,16.86,38.69,8.62,26.21
143,55.0,-9.465,-33.275,#348BBD,-2.741,-27.597,#5C87B3,10.245,-13.141,#8B7F9A,8.8,28.18,5.96,26.71
144,55.0,-8.562,-19.495,#5A8AA5,-25.441,-13.871,#27919B,19.096,2.662,#A57880,17.79,35.44,11.75,35.1
145,55.0,-29.316,-10.739,#189295,-14.196,-15.672,#518C9E,2.669,-3.64,#85828A,15.9,32.76,9.89,28.59
146,55.0,-6.227,-17.591,#6388A2,9.954,-27.69,#7A80B3,-32.159,11.942,#47926E,19.07,39.3,12.33,26.29
147,55.0,-6.652,36.831,#8D8542,-26.026,39.014,#6C8E3D,29.97,22.958,#BE6E5E,19.5,39.16,11.28,29.71
148,55.0,32.341,31.955,#C46C4E,31.017,13.082,#BC6E6F,1.522,53.654,#9E801D,18.92,37.69,11.0,25.67
149,55.0,27.871,-22.449,#A173AB,45.696,-20.362,#BF63A8,-6.405,-32.144,#458ABB,17.95,35.62,7.76,29.7
150,55.0,-18.5,-15.59,#428E9E,-15.212,-15.681,#4D8C9E,-2.121,16.71,#8B8467,3.29,36.22,2.17,26.05
151,55.0,-7.829,-31.398,#428AB9,-0.543,-45.664,#2E88D3,22.276,-18.089,#9C77A3,16.02,32.92,4.09,30.05
152,55.0,9.62,-58.547,#2784EA,6.513,-54.161,#2D85E2,47.278,-45.699,#AC66D4,5.38,39.79,0.9,27.55
153,55.0,-30.439,28.036,#5C9051,-40.744,14.795,#2A9569,7.487,36.289,#A27D44,16.78,38.81,8.91,25.99
154,55.0,-19.596,9.884,#658D72,-19.069,-9.543,#4D8E93,8.357,27.22,#A17D55,19.43,32.89,14.08,26.16
155,55.0,22.764,33.173,#B7734B,3.432,32.534,#9B804B,-15.063,20.948,#778A5F,19.34,39.75,13.98,29.73
156,55.0,19.518,35.05,#B37647,8.618,45.136,#A67C33,-16.563,29.684,#798A4F,14.85,36.48,10.14,27.25
157,55.0,-5.797,-23.495,#5B89AC,-16.242,-30.624,#0D8EB8,13.104,-5.516,#967C8D,12.65,26.09,7.4,27.46
158,55.0,8.73,51.785,#A87C23,-10.172,54.256,#8C8719,34.379,24.384,#C56A5B,19.06,37.53,12.6,25.29
159,55.0,11.696,-19.383,#887EA5,-2.23,-13.285,#72869A,-14.957,-1.618,#638B86,15.2,32.03,13.85,26.17
160,55.0,-32.866,14.669,#489269,-16.019,12.314,#6F8B6E,4.377,26.496,#9A8056,17.01,39.08,8.37,26.36
161,55.0,9.105,-49.8,#4C83DA,11.409,-39.68,#6B81C8,38.792,-30.481,#AD6BB9,10.38,35.42,6.26,26.28
162,55.0,-0.147,30.766,#95824E,10.045,25.067,#A27C59,28.68,5.521,#B5707B,11.68,38.32,9.56,30.44
163,55.0,9.349,-49.596,#4D83DA,9.337,-59.209,#1F85EB,37.91,-22.865,#B16BAC,9.61,39.12,3.78,28.28
164,55.0,-32.238,-4.813,#1F938B,-27.749,-11.802,#209197,3.027,-7.254,#838290,8.31,35.35,5.51,26.7
165,55.0,-16.619,-26.339,#288EB1,2.848,-24.122,#6F84AD,8.09,2.144,#937F80,19.59,37.71,15.19,35.23
166,55.0,-23.787,5.472,#568F79,-13.793,0.066,#688B83,7.718,-15.953,#83809F,11.36,38.1,7.06,28.45
167,55.0,3.41,-54.015,#0F87E1,4.641,-38.95,#5A85C7,40.193,-42.63,#A36CCE,15.11,38.51,6.45,28.4
168,55.0,-5.413,-38.01,#368AC5,2.279,-40.486,#4E86CA,8.084,-2.545,#907F88,8.08,37.95,4.74,28.38
169,55.0,24.685,-26.962,#9876B3,43.098,-25.053,#B867B0,-13.729,-26.973,#368DB2,18.51,38.41,8.81,28.97
170,55.0,-1.009,25.881,#928357,4.07,33.776,#9D8049,20.893,-3.267,#A5778A,9.39,36.46,5.24,30.87
171,55.0,-12.721,45.439,#868830,-25.341,38.991,#6D8E3D,23.537,37.266,#B97344,14.17,37.17,8.42,26.59
172,55.0,0.981,-20.374,#7085A7,-2.686,-36.001,#4888C2,-8.406,16.513,#808767,16.05,38.06,9.05,29.78
173,55.0,-33.018,10.781,#429270,-41.779,21.818,#33955C,5.098,11.662,#948070,14.09,38.13,5.73,28.62
174,55.0,-25.506,5.051,#518F7A,-32.911,17.954,#4C9263,11.814,-5.088,#947D8D,14.88,38.67,7.52,36.56
175,55.0,-14.375,-23.197,#3F8DAB,2.061,-22.53,#7084AA,16.528,-18.834,#917BA4,16.45,31.21,13.54,28.73
176,55.0,-27.78,6.326,#4C9078,-25.971,20.127,#608F60,4.959,21.942,#99805E,13.92,36.27,8.34,27.06
177,55.0,23.464,26.131,#B67358,20.523,9.375,#AB7674,-8.321,25.067,#858758,17.01,31.8,10.21,25.51
178,55.0,-24.766,-5.967,#41908D,-20.091,-19.121,#318FA4,10.997,-22.304,#837FAA,13.96,39.32,9.45,27.8
179,55.0,13.086,-59.866,#3682EC,20.38,-47.803,#727CD7,43.336,-36.144,#AF68C3,14.1,38.44,10.13,27.33
180,55.0,12.966,16.566,#A37B68,15.786,1.695,#A07A81,-16.208,-8.615,#578C92,15.14,38.54,11.68,32.48
