trial,L,ct_a,ct_b,ct_hex,CH_a,CH_b,CH_hex,CL_a,CL_b,CL_hex,dE_ct_CH,dE_ct_CL,dE00_ct_CH,dE00_ct_CL
79,55.0,-17.722,-21.371,#368EA8,-19.148,-18.094,#398EA2,-18.473,15.516,#6C8C68,3.57,36.89,2.16,26.46
80,55.0,-27.855,23.465,#5E905A,-16.496,27.535,#788A53,-0.229,-4.748,#7F848C,12.07,39.49,7.09,25.35
81,55.0,7.42,-26.032,#7782B1,3.564,-18.473,#7883A3,-0.578,10.799,#8A8371,8.49,37.69,3.7,27.61
82,55.0,10.277,17.634,#A07D66,5.56,8.587,#938075,-27.004,17.719,#5B8F64,10.2,37.28,6.35,30.26
83,55.0,38.172,37.311,#CD6645,53.635,36.978,#E15547,-1.308,32.988,#94834A,15.47,39.72,6.93,25.72
84,55.0,-1.94,-39.739,#4088C8,9.217,-48.545,#5083D8,16.723,-10.816,#987A97,14.21,34.42,5.02,28.85
85,55.0,-26.757,12.526,#57906D,-36.634,13.687,#3A936B,-1.411,-12.77,#758599,9.95,35.81,4.14,25.6
86,55.0,38.68,-34.698,#A86CC0,54.232,-46.997,#B65ED6,-0.765,-38.702,#4887C6,19.83,39.65,5.23,27.65
87,55.0,-2.402,37.178,#948342,-8.152,54.122,#90861A,19.346,4.532,#A7777D,17.89,39.23,6.27,29.6
88,55.0,-22.375,11.734,#608E6F,-32.394,14.115,#49926A,-10.338,-22.869,#4E8BAB,10.3,36.64,4.58,26.37
89,55.0,1.258,-34.277,#5A86BF,0.503,-20.378,#6F85A7,31.863,-22.618,#A870AB,13.92,32.75,6.05,25.78
90,55.0,-7.786,-27.863,#4B8AB3,-13.575,-17.944,#4E8CA2,8.566,2.12,#947F80,11.49,34.15,6.69,28.7
91,55.0,-19.567,-0.867,#598D85,-9.666,2.624,#73887F,15.015,-0.835,#9D7B86,10.5,34.58,7.85,38.93
92,55.0,1.007,42.351,#9B8138,-5.193,53.816,#94841B,31.939,23.98,#C16C5C,13.03,35.98,5.4,26.27
93,55.0,-19.149,-18.92,#378EA4,-22.985,-10.395,#3D8F95,8.128,7.324,#977E77,9.35,37.85,6.23,36.44
94,55.0,-23.847,-5.571,#458F8D,-11.122,0.257,#6E8983,3.047,18.138,#948165,14.0,35.85,9.08,27.07
95,55.0,-4.748,-22.919,#5E88AB,-17.777,-18.139,#3F8EA2,-16.513,10.775,#6C8B71,13.88,35.69,9.98,26.53
96,55.0,-6.088,24.712,#898659,-15.144,12.051,#708B6E,17.667,12.519,#A8786F,15.57,26.7,11.53,25.09
97,55.0,1.093,-24.053,#6B85AD,-1.708,-39.267,#4288C7,29.999,-0.392,#B47085,15.47,37.36,8.03,28.11
98,55.0,-18.239,-14.209,#468E9C,-17.399,-24.105,#2D8EAD,4.301,-1.791,#8A8187,9.93,25.73,5.52,28.58
99,55.0,18.269,-7.956,#9D7992,10.819,-25.738,#7F80B0,-7.111,-31.904,#438ABA,19.28,34.89,14.27,32.44
100,55.0,-13.567,-20.211,#498CA6,-7.284,-28.326,#4C8AB4,15.117,-17.224,#907CA2,10.26,28.84,6.04,27.96
101,55.0,11.018,-56.48,#3B83E6,10.414,-57.153,#3584E7,45.527,-40.868,#AE67CB,0.9,37.88,0.65,26.64
102,55.0,37.0,5.859,#C1697B,33.813,5.331,#BC6C7C,7.69,24.951,#9F7E59,3.23,34.98,1.24,25.54
103,55.0,-3.711,-23.717,#6087AC,-5.075,-32.101,#4A89BB,18.943,-1.511,#A37887,8.49,31.72,3.76,29.34
104,55.0,-10.601,-35.479,#228CC1,3.933,-42.279,#4F85CD,15.589,-9.785,#977B95,16.05,36.69,8.51,34.33
105,55.0,15.468,-64.708,#2882F5,16.531,-51.685,#607FDE,29.829,-28.386,#9F73B5,13.07,39.06,6.24,25.5
106,55.0,10.013,22.662,#A17C5D,19.134,33.43,#B2764A,-15.657,13.736,#718B6B,14.11,27.18,6.28,25.12
107,55.0,9.783,25.959,#A27C57,14.214,8.373,#A17B76,37.557,0.218,#BF6985,18.14,37.87,13.55,27.17
108,55.0,27.791,-10.254,#AB7296,14.717,-19.03,#8E7CA5,-3.345,-32.796,#4E88BC,15.75,38.44,10.57,32.21
109,55.0,-6.241,-25.816,#5589B0,-8.157,-32.492,#3D8BBB,27.087,-9.26,#AA7394,6.95,37.21,3.05,32.86
110,55.0,-23.452,-20.818,#0D90A7,-24.958,-5.498,#41908C,14.22,-10.1,#957C95,15.39,39.17,9.86,38.82
111,55.0,-24.972,-10.371,#359095,-21.001,-24.121,#0E90AD,2.683,11.978,#91816F,14.31,35.56,8.75,26.95
112,55.0,13.285,56.73,#AF7916,20.037,43.976,#B67536,40.73,28.179,#CE6455,14.43,39.6,7.71,25.75
113,55.0,-28.313,-13.359,#11929A,-16.672,-14.525,#4B8D9C,7.623,-18.505,#8181A4,11.7,36.3,6.71,26.84
114,55.0,10.157,-20.056,#847FA6,16.716,-28.058,#887CB4,-17.367,6.186,#668C78,10.35,38.03,4.46,28.23
115,55.0,26.372,-30.105,#9776B8,28.623,-33.765,#9874BE,-0.498,-50.21,#0489DB,4.3,33.56,1.6,28.06
116,55.0,1.321,-19.822,#7284A6,-12.297,-18.614,#518BA3,21.631,9.191,#AD7575,13.67,35.42,12.35,26.46
117,55.0,0.086,-38.543,#4C87C6,-5.062,-40.013,#2F8AC9,35.014,-29.394,#A76FB7,5.35,36.11,3.94,27.37
118,55.0,25.585,11.114,#B37272,30.87,16.011,#BD6E6A,-2.594,32.232,#92834B,7.2,35.21,3.24,28.31
119,55.0,0.088,19.499,#908262,-13.661,25.018,#7C8958,-7.05,-15.734,#64889E,14.82,35.95,11.55,27.23
120,55.0,8.663,-20.023,#8180A6,11.261,-35.248,#7280C1,-4.369,15.51,#878569,15.44,37.85,8.18,31.11
121,55.0,-17.675,4.975,#648C7B,-19.679,5.1,#608D7A,18.189,-6.577,#9E798F,2.01,37.68,1.26,33.95
122,55.0,-5.354,-35.927,#3E8AC1,-6.984,-35.307,#388AC0,9.391,-8.467,#8E7F92,1.74,31.17,1.03,26.86
123,55.0,40.975,13.765,#CA656E,55.036,23.862,#E0545E,3.383,19.8,#968162,17.31,38.07,5.63,25.51
124,55.0,-27.188,12.091,#55906E,-25.476,16.434,#5E8F66,6.938,-0.562,#8F8085,4.67,36.4,2.87,34.07
125,55.0,-27.523,6.905,#4E9077,-13.655,3.636,#6C8A7D,7.549,12.929,#997E6E,14.25,35.59,8.1,30.71
126,55.0,7.049,-43.056,#5784CE,25.753,-49.834,#7C79DA,29.839,-12.882,#AC719B,19.89,37.81,9.87,27.59
127,55.0,-16.274,-27.573,#248EB3,-6.772,-41.399,#198BCB,11.758,-5.496,#947D8D,16.78,35.68,7.31,37.02
128,55.0,17.12,-12.384,#987A99,16.466,-19.876,#907BA6,-14.87,6.944,#6C8B77,7.52,37.38,4.93,30.4
129,55.0,-17.538,-8.516,#538D92,-6.127,7.368,#7E8677,19.652,-1.384,#A47887,19.56,37.87,15.3,41.06
130,55.0,30.926,14.457,#BC6E6C,20.335,17.888,#AF7666,-0.873,-9.6,#798594,11.13,39.87,7.11,27.95
131,55.0,21.173,21.003,#B17560,7.037,31.636,#A07E4D,-10.509,-3.412,#6B8989,17.69,40.0,14.07,32.78
132,55.0,-6.272,-35.251,#3C8AC0,-11.966,-26.052,#408CB0,23.679,-12.724,#A2769A,10.82,37.48,4.77,33.33
133,55.0,21.797,20.807,#B27561,21.171,11.412,#AD7671,-16.361,22.88,#758B5B,9.42,38.21,6.11,32.21
134,55.0,7.309,-22.962,#7B81AB,11.062,-21.817,#847FA9,-20.172,0.844,#5A8D82,3.92,36.36,3.75,26.07
135,55.0,20.311,-0.962,#A57786,22.361,-15.959,#9E77A0,-14.187,16.768,#768A66,15.14,38.79,9.06,38.31
136,55.0,6.206,-52.646,#3385DF,4.084,-40.462,#5485CA,23.769,-18.806,#9E76A4,12.37,38.13,3.5,28.14
137,55.0,13.519,-18.356,#8C7DA3,15.282,-4.166,#9B7B8B,-15.957,-21.476,#3D8DA8,14.3,29.64,9.64,27.62
138,55.0,-24.106,-8.169,#3E9091,-35.03,8.391,#369374,5.156,12.625,#95806E,19.84,35.9,12.35,28.89
139,55.0,44.373,-27.875,#B866B5,54.452,-33.816,#C35CBF,10.77,-47.5,#5882D6,11.7,38.91,3.23,26.85
140,55.0,9.357,39.07,#A67C3F,4.291,35.216,#9D7F46,21.461,2.039,#A97681,6.37,38.96,3.71,27.2
141,55.0,28.481,-3.499,#B0718B,32.143,-21.853,#A970AA,-1.325,6.285,#868479,18.72,31.37,9.91,26.83
142,55.0,-18.12,7.312,#668C76,-1.568,13.234,#8A846D,7.737,-12.073,#878099,17.58,32.32,15.94,27.06
143,55.0,21.36,10.21,#AD7673,12.228,22.901,#A57B5D,-13.196,25.991,#7D8956,15.64,37.99,12.84,33.34
144,55.0,-34.758,5.048,#30937A,-35.625,4.311,#2A937B,3.482,-5.099,#86828C,1.14,39.56,0.61,28.67
145,55.0,-25.842,5.932,#519079,-32.171,-6.16,#18938D,4.055,-8.029,#848291,13.65,33.0,8.73,26.44
146,55.0,23.421,9.485,#AF7474,25.412,21.067,#B77261,-1.089,30.936,#94834E,11.75,32.57,7.28,26.7
147,55.0,3.988,-52.458,#2587DF,-6.562,-40.684,#218BCA,28.124,-24.368,#A074AE,15.81,37.04,4.58,29.26
148,55.0,-17.78,-3.269,#5A8D89,-4.046,-2.883,#798688,20.38,-3.902,#A3778B,13.74,38.16,11.83,38.14
149,55.0,35.299,20.217,#C46A63,16.868,24.846,#AC785A,-0.844,25.838,#928357,19.0,36.58,12.33,26.86
150,55.0,-23.998,4.269,#548F7C,-20.024,8.444,#638D74,5.172,13.309,#95806D,5.76,30.54,3.87,27.3
151,55.0,5.271,-26.163,#7283B1,-3.928,-17.859,#6887A2,31.827,2.578,#B86E80,12.39,39.13,7.72,26.58
152,55.0,14.253,15.008,#A47A6A,15.141,8.993,#A37A75,-10.712,8.301,#768975,6.08,25.85,4.63,28.57
153,55.0,6.483,-26.041,#7582B1,-4.575,-14.167,#6C879C,-24.304,-1.429,#4B8F85,16.23,39.42,10.24,25.97
154,55.0,24.839,4.746,#AF737C,20.87,-13.895,#9D789C,-10.817,0.552,#6F8982,19.06,35.9,11.93,37.05
155,55.0,-15.361,-28.527,#268EB4,-5.874,-36.492,#398AC2,16.988,-25.249,#8B7CAF,12.39,32.51,6.46,26.63
156,55.0,-8.583,50.876,#8E8623,5.785,57.627,#A57E10,27.477,39.211,#BF6F40,15.88,37.9,9.77,26.42
157,55.0,40.055,-29.775,#AF6AB8,38.416,-27.607,#AE6BB4,5.828,-46.551,#4985D4,2.72,38.12,0.93,28.22
158,55.0,-15.204,-15.938,#4D8C9F,-1.762,-3.544,#7D858A,7.173,-3.1,#8E8089,18.28,25.8,13.6,30.42
159,55.0,-23.218,0.181,#508F83,-12.128,5.815,#718979,10.243,-14.383,#8A7F9D,12.44,36.49,8.65,29.92
160,55.0,2.869,-41.182,#4E86CB,6.024,-50.579,#3C85DB,21.358,-13.484,#9E779B,9.91,33.3,1.93,26.68
161,55.0,8.333,25.146,#A07D59,10.515,6.362,#9A7D79,-29.152,34.941,#639044,18.91,38.74,13.49,25.66
162,55.0,18.974,24.633,#AF765A,16.253,21.66,#AA785F,-11.2,40.429,#87883B,4.03,34.06,1.79,25.21
163,55.0,-33.462,12.467,#43926D,-17.966,25.069,#748B57,1.763,2.064,#888380,19.97,36.73,11.69,26.06
164,55.0,-14.641,-15.019,#508C9D,-2.217,-16.646,#6E86A0,6.357,5.938,#93807A,12.53,29.67,10.87,30.7
165,55.0,-19.737,-4.372,#538E8B,-35.947,1.804,#1F947F,11.936,4.053,#9B7C7D,17.35,32.77,8.83,35.22
166,55.0,17.142,11.331,#A77871,22.258,22.221,#B3745E,-6.791,8.12,#7D8775,12.03,24.15,6.38,27.28
167,55.0,23.27,20.121,#B47462,22.535,1.066,#AA7583,-6.871,19.819,#858661,19.07,30.14,12.8,26.29
168,55.0,-6.696,-20.117,#5E89A6,-14.08,-9.244,#5B8B93,-4.111,17.126,#888566,13.14,37.33,9.8,28.63
169,55.0,-4.025,-30.019,#5388B7,-10.88,-13.092,#5E8A9A,33.72,-29.021,#A570B6,18.26,37.76,10.21,26.38
170,55.0,11.983,-52.856,#4D82DF,27.88,-61.698,#6979EF,43.693,-34.622,#B167C0,18.19,36.58,7.09,25.82
171,55.0,27.515,-14.181,#A7739D,29.176,-1.609,#B27087,14.458,22.093,#A87A5E,12.68,38.55,7.5,26.24
172,55.0,-14.596,-17.43,#4C8CA1,-10.029,-11.977,#628A98,6.199,-7.433,#898191,7.11,23.07,4.09,25.72
173,55.0,10.974,-54.784,#4283E3,1.793,-47.346,#3487D6,50.465,-48.78,#AE63D9,11.82,39.94,3.86,25.19
174,55.0,-12.828,-31.938,#268DBA,3.045,-23.854,#7084AD,6.74,-6.07,#8B808E,17.81,32.44,14.13,29.8
175,55.0,-13.426,-21.968,#468CA9,-20.238,-19.985,#2D8FA5,15.878,-17.914,#917CA3,7.09,29.58,4.51,28.12
176,55.0,-29.072,26.189,#5D9055,-31.319,13.194,#4B916C,9.203,30.615,#A37D4F,13.19,38.53,7.16,27.03
177,55.0,16.075,11.853,#A67970,32.23,6.837,#BB6D79,-5.644,1.548,#7A8781,16.92,24.04,10.24,25.73
178,55.0,27.476,-4.634,#AE728C,35.766,1.332,#BD6B83,6.979,27.053,#9F7E55,10.21,37.74,5.07,28.89
179,55.0,44.426,38.156,#D56044,57.2,29.149,#E45155,6.055,48.453,#A47E2B,15.63,39.73,8.69,26.03
180,55.0,23.105,5.376,#AD757B,33.28,11.739,#BF6C71,-11.815,-3.666,#688A8A,12.0,36.07,5.49,35.82
